island,year,n_stations,tmed_annual,tmin_annual,tmax_annual,anom_tmed,anom_tmin,anom_tmax,prec_annual,hr_media_annual,hr_min_annual,hr_max_annual,velmedia_annual,racha_mean_annual,sol_annual,pres_min_annual,pres_max_annual,tropical_nights_annual,equatorial_nights_annual,torrid_nights_annual,warm_days_30,warm_days_35
Gran Canaria,2018,5,19.177345918933927,15.85752359800111,22.495780122154354,-0.6185502139313712,-0.4195637929754863,-0.8189920394112207,298.30193905817174,65.77306168647425,51.27045931613705,79.77460243950814,4.0950003829562105,11.614618669368589,3111.4736842105262,1013.8437902483901,1017.1202391904324,78,0,0,5.6,0
Gran Canaria,2019,4,19.391601423487543,15.881921708185052,22.901921708185053,-0.4042947093777549,-0.3951656827915446,-0.4128504533805213,150.57574257425742,61.351451973194344,45.976726209279896,75.84525826545298,4.507471025832033,11.849233477330602,2870.2614457831323,1014.2426046511629,1017.4054883720929,93,0,0,7.2,0
Gran Canaria,2020,4,19.86310888252149,16.307664756446993,23.416547277936964,0.06721274965619273,0.030577365470396245,0.10177511637138892,163.49881201956674,61.60700969425802,45.72821088579444,78.09169392569821,4.537820066808974,11.601015161613613,2972.2155309033283,1014.0015711645101,1017.4146950092421,102.2,1,0,20.1,1.6
Gran Canaria,2021,4,19.42447108603667,15.909379407616361,22.93730606488011,-0.37142504682862665,-0.36770798336023525,-0.37746609668546327,168.85910676901602,64.107299270073,48.47864195658356,79.50653398426391,4.746886270237395,12.050933612539488,3289.422797202797,1013.8021415270018,1017.1304469273741,90.5,1,0,14.6,1.5
Gran Canaria,2022,4,19.838705234159782,16.33154269972452,23.347933884297518,0.04280910129448401,0.05445530874792226,0.0331617227319434,337.3419198895028,62.31843971631206,46.18514110126998,78.93004222024703,4.782420085427752,12.180207449011721,3329.151790633609,1013.327970749543,1016.7035648994515,113.8,0.2,0,17,1
Gran Canaria,2023,4,20.32450284090909,16.539701704545454,24.112571022727273,0.5286067080437924,0.2626143135688572,0.7977988611616986,176.4713581984518,61.09117432530999,44.861195899377286,77.6534547461135,4.484953880099902,11.554099698849374,3367.746153846154,1013.6396694214877,1016.8970615243342,113.3,6.4,0,35.1,2.8
Gran Canaria,2024,4,20.46132596685083,16.780455801104974,24.142127071823207,0.6654298339855309,0.5033684101283775,0.8273549102576325,116.660400829302,61.23319027181688,44.781859987673485,78.51487649429515,4.693743524550875,11.972915276276986,3318.3739436619717,1013.4157598499064,1016.7194183864915,115.5,0,0,18.1,1
Gran Canaria,2025,4,19.81283932501834,16.249816581071165,23.379970652971387,0.016943192153043185,-0.027270809905431292,0.06519849140581258,310.6173184357542,62.708333333333336,45.997524147701554,78.9953335003942,4.699015709696481,11.748522571213684,3248.5335714285716,1013.6219900497514,1016.9395024875621,105.4,2.3,0,17.3,2
La Gomera,2015,5,18.834161849710984,15.485606936416184,22.180751445086706,-0.23287244467730872,0.0031668153795330056,-0.4718881814419831,232.77122260668972,71.65727699530517,55.81714091871932,86.79415130841721,3.3825958450616986,10.665029668957773,3132.5,1004.2870473537604,1007.4192200557103,63.5,1.9,0,18,2.1
La Gomera,2016,5,18.558804168952275,15.157871640153592,21.960175534832693,-0.5082301254360182,-0.3245684808830589,-0.6924640916959959,230.92167515563102,71.71357340720222,56.129862935262636,86.45436750952362,3.5433660362879897,10.85928847549024,3280.3,1003.7654320987655,1006.9890260631001,55.5,0.4,0,16.6,3.4
La Gomera,2017,5,19.38159645232816,15.901552106430156,22.85973149469975,0.31456215793986786,0.4191119853935046,0.2070918681710623,129.72208724461623,69.74802259887005,52.72741194141596,85.20313604363302,3.391599387439785,10.64369442035971,3164.4,1002.9831275720164,1006.1802469135803,79.8,3,0,27.2,2.8
La Gomera,2018,5,18.06389351081531,14.775374376039933,21.35146977260122,-1.0031407835729844,-0.7070657449967186,-1.301169853927469,254.83316180674672,72.90118577075098,57.387730488826236,87.15484909254336,3.7053909758109147,11.27971140116736,3316.7,1003.3059147180192,1006.5891334250344,43.7,0,0,8,0
La Gomera,2019,5,18.55675082327113,15.092919868276619,22.020362239297473,-0.5102834711171624,-0.38952025276003255,-0.6322773872312162,206.4146005509642,70.06547285954113,54.18225260580526,85.54241610822591,3.546747137012211,10.622485017692902,3413.5,1003.4466392318244,1006.671193415638,49.9,0.4,0,9.8,1.2
La Gomera,2020,4,19.23978647686833,15.45423487544484,23.026334519572952,0.17275218248003554,-0.02820524559181159,0.37369489304426295,240.675,70.08272859216255,52.88927094327973,85.99041941697932,3.6235032363548787,11.022245234947949,,1014.8502747252747,1018.2236263736264,67.5,2.7,0,28.2,4.2
La Gomera,2021,5,19.013219967087217,15.348765770707624,22.678771256171146,-0.05381432730107605,-0.1336743503290272,0.026131629642456744,191.9976308539945,70.00893854748604,52.909032403429734,84.88246923061267,3.58296810831881,10.678260369572143,3254,1002.7210818307906,1006.0402219140083,64.1,2,0,23.4,4.4
La Gomera,2022,5,19.310824175824173,15.711978021978021,22.907967032967033,0.24378988143588032,0.22953790094137005,0.25532740643834373,355.80164835164834,69.30381165919283,52.25458995140819,84.89809021074441,3.677340749909431,11.053918392762638,3248,1002.474690508941,1005.7591471801926,70,0.2,0,19.8,3.6
