island,year,n_stations,weight,tmed_annual,tmin_annual,tmax_annual,prec_annual,tropical_nights_annual,equatorial_nights_annual,torrid_nights_annual,warm_days_30,warm_days_35
La Graciosa,2021,1,350,20.81085714285714,17.789142857142856,23.833142857142857,64.2,87,0,0,2,0
La Graciosa,2022,1,327,21.21896024464832,18.186850152905198,24.251376146788992,128,96,0,0,9,0
La Graciosa,2023,1,303,22.22970297029703,19.004620462046205,25.455775577557755,23.6,142,1,0,16,7
La Graciosa,2024,1,363,21.753168044077135,18.628650137741047,24.87548209366391,27.2,110,0,0,9,0
La Graciosa,2025,1,359,21.22924791086351,18.30891364902507,24.147353760445682,127.39999999999999,115,0,0,6,2
La Palma,2015,4,1453,19.560564349621473,16.569167240192705,22.5532002752925,393.9261823166552,77.9,1,0,5.8,1.5
La Palma,2016,5,1795,18.910027855153203,15.611264008550885,22.211189536151142,321.8328151986183,64.2,2.6,0,14,3.2
La Palma,2017,5,1765,19.37699716713881,16.08226628895184,22.66889990557129,265.6573219373219,73.4,2.3,0,15.7,2.3
La Palma,2018,5,1822,18.29379802414929,15.079747530186607,21.504334685040206,437.04,49.7,0.4,0,6.4,0.6
La Palma,2019,5,1769,18.948162803843978,15.573146802834865,22.323120407009608,218.5431715575621,59.3,1.4,0,9,2.5
La Palma,2020,5,1829,19.622689994532532,16.217003827227995,23.031437944231822,310.1078184800437,76.2,4,0.2,18.2,3.2
La Palma,2021,5,1821,18.978912685337725,15.743053267435474,22.215815485996703,343.44043141592925,65.8,3.6,0.2,14.2,3.4
La Palma,2022,5,1821,19.23031301482702,15.80966501922021,22.648709500274578,542.46,68.2,2.6,0,12.6,3.6
La Palma,2023,5,1825,20.244712328767122,16.67095890410959,23.816657534246577,401.06,92.4,4.2,0.6,29,4.2
La Palma,2024,5,1829,19.781574630945872,16.263696008747953,23.300820120284307,303.12,68.6,1.2,0,14,1.4
La Palma,2025,5,1795,19.060389972144847,15.687983086289247,22.42998539438631,468.7309749303621,68.6,1.6,0,15.1,3.7
Lanzarote,2015,5,1723,19.923621590249567,16.626813697040046,23.219733023795705,99.86830122591944,59.3,0.2,0,23.2,3.5
Lanzarote,2016,5,1815,19.64457300275482,16.43129476584022,22.856473829201104,149.12893289328935,47.7,0.2,0,16,2
Lanzarote,2017,5,1813,20.204357418643134,16.784886927744072,23.621070049641478,51.739669421487605,60.6,2,0,25.6,4.2
Lanzarote,2018,5,1819,19.073666849917537,15.996866410115448,22.14997251236943,130.72388797364084,40.2,0,0,7.2,0.4
Lanzarote,2019,5,1806,19.59313399778516,16.274473975636766,22.914784053156147,51.24305478693968,41.8,0,0,10.9,0.8
Lanzarote,2020,5,1821,20.284678747940692,16.79357495881384,23.77589236683141,72.4693698630137,61.2,0.6,0,21.4,2
Lanzarote,2021,5,1805,19.699556786703603,16.28487534626039,23.110249307479226,100.0600996126176,41.2,0.8,0,16.3,3
Lanzarote,2022,5,1811,20.377636664826063,16.976642738818335,23.77907233572612,134.05124515772,58.1,0.4,0,20.4,2.2
Lanzarote,2023,5,1819,21.010225398570643,17.408466190214405,24.61110500274876,67.36651860077735,88.8,2.4,0,40.8,5.8
Lanzarote,2024,5,1819,20.627982407916438,17.31605277625069,23.93815283122595,59.07558968732858,57.2,0.2,0,14.8,0.4
Lanzarote,2025,5,1820,20.128021978021977,16.809505494505494,23.44923076923077,137.41502476609796,63.5,1.6,0,19,5.2
Tenerife,2015,5,1814,17.360694597574422,14.009812568908488,20.708599779492836,407.31997786386273,33.4,0.4,0,8,0
Tenerife,2016,5,1784,17.24915919282511,13.98054932735426,20.521132286995513,333.56951151038743,15.2,0,0,5,0.8
Tenerife,2017,5,1793,17.8771332961517,14.56207473508087,21.192526491912997,191.52925472747495,28.3,0.2,0,12.2,0.8
Tenerife,2018,5,1806,16.732834994462902,13.57259676041175,19.891915836101884,380.2728242560359,14.3,0,0,2.6,0
Tenerife,2019,5,1797,17.346188091263215,14.057095158597663,20.631942125765164,266.9024013722127,14.8,0,0,3.2,0
Tenerife,2020,5,1821,17.93141131246568,14.555793520043931,21.30521691378364,263.45233644859815,29.5,0.4,0,10.4,0.6
Tenerife,2021,5,1819,17.442715777899945,14.149477735019243,20.737713029136888,248.04581497797355,19.8,0,0,6.6,0.6
Tenerife,2022,5,1824,17.80043859649123,14.54325657894737,21.05641447368421,402.6050521691378,25.8,0.2,0,7,0
Tenerife,2023,5,1822,18.593029637760704,15.140175631174534,22.04676180021954,269.83768513439384,55.8,3.6,0,23.4,3.4
Tenerife,2024,5,1821,18.454530477759473,15.103020318506314,21.803789126853374,180.54770844837108,27.9,0.4,0,8.8,0.4
Tenerife,2025,5,1820,17.68445054945055,14.526494414676232,20.84345593800139,345.22824889867843,33.9,1.2,0,8.6,0.6
