year,territory_code,units,value,indicator_id,territory_name,level
2015,ES70,Por 100.000 habitantes,0.05,ods_13_1_1,Canarias,canarias
2016,ES70,Por 100.000 habitantes,0.05,ods_13_1_1,Canarias,canarias
2017,ES70,Por 100.000 habitantes,0.05,ods_13_1_1,Canarias,canarias
2018,ES70,Por 100.000 habitantes,0,ods_13_1_1,Canarias,canarias
2019,ES70,Por 100.000 habitantes,0.09,ods_13_1_1,Canarias,canarias
2020,ES70,Por 100.000 habitantes,0.09,ods_13_1_1,Canarias,canarias
2021,ES70,Por 100.000 habitantes,0.22,ods_13_1_1,Canarias,canarias
2022,ES70,Por 100.000 habitantes,0.18,ods_13_1_1,Canarias,canarias
2023,ES70,Por 100.000 habitantes,0.36,ods_13_1_1,Canarias,canarias
2010,ES,Kilogramos de CO2 equivalente,0.29,ods_13_2_2_A,España,pais
2011,ES,Kilogramos de CO2 equivalente,0.29,ods_13_2_2_A,España,pais
2012,ES,Kilogramos de CO2 equivalente,0.3,ods_13_2_2_A,España,pais
2013,ES,Kilogramos de CO2 equivalente,0.27,ods_13_2_2_A,España,pais
2014,ES,Kilogramos de CO2 equivalente,0.27,ods_13_2_2_A,España,pais
2015,ES,Kilogramos de CO2 equivalente,0.27,ods_13_2_2_A,España,pais
2016,ES,Kilogramos de CO2 equivalente,0.25,ods_13_2_2_A,España,pais
2017,ES,Kilogramos de CO2 equivalente,0.25,ods_13_2_2_A,España,pais
2018,ES,Kilogramos de CO2 equivalente,0.24,ods_13_2_2_A,España,pais
2019,ES,Kilogramos de CO2 equivalente,0.22,ods_13_2_2_A,España,pais
2020,ES,Kilogramos de CO2 equivalente,0.22,ods_13_2_2_A,España,pais
2021,ES,Kilogramos de CO2 equivalente,0.22,ods_13_2_2_A,España,pais
2022,ES,Kilogramos de CO2 equivalente,0.19,ods_13_2_2_A,España,pais
2010,ES70,Kilogramos de CO2 equivalente,0.39,ods_13_2_2_A,Canarias,canarias
2011,ES70,Kilogramos de CO2 equivalente,0.36,ods_13_2_2_A,Canarias,canarias
2012,ES70,Kilogramos de CO2 equivalente,0.37,ods_13_2_2_A,Canarias,canarias
2013,ES70,Kilogramos de CO2 equivalente,0.35,ods_13_2_2_A,Canarias,canarias
2014,ES70,Kilogramos de CO2 equivalente,0.34,ods_13_2_2_A,Canarias,canarias
2015,ES70,Kilogramos de CO2 equivalente,0.32,ods_13_2_2_A,Canarias,canarias
2016,ES70,Kilogramos de CO2 equivalente,0.32,ods_13_2_2_A,Canarias,canarias
2017,ES70,Kilogramos de CO2 equivalente,0.32,ods_13_2_2_A,Canarias,canarias
2018,ES70,Kilogramos de CO2 equivalente,0.31,ods_13_2_2_A,Canarias,canarias
2019,ES70,Kilogramos de CO2 equivalente,0.3,ods_13_2_2_A,Canarias,canarias
2020,ES70,Kilogramos de CO2 equivalente,0.31,ods_13_2_2_A,Canarias,canarias
2021,ES70,Kilogramos de CO2 equivalente,0.31,ods_13_2_2_A,Canarias,canarias
2010,ES,Toneladas de CO2 equivalente,6.67,ods_13_2_2_B,España,pais
2011,ES,Toneladas de CO2 equivalente,6.66,ods_13_2_2_B,España,pais
2012,ES,Toneladas de CO2 equivalente,6.56,ods_13_2_2_B,España,pais
2013,ES,Toneladas de CO2 equivalente,6.02,ods_13_2_2_B,España,pais
2014,ES,Toneladas de CO2 equivalente,6.03,ods_13_2_2_B,España,pais
2015,ES,Toneladas de CO2 equivalente,6.23,ods_13_2_2_B,España,pais
2016,ES,Toneladas de CO2 equivalente,5.96,ods_13_2_2_B,España,pais
2017,ES,Toneladas de CO2 equivalente,6.22,ods_13_2_2_B,España,pais
2018,ES,Toneladas de CO2 equivalente,6.05,ods_13_2_2_B,España,pais
2019,ES,Toneladas de CO2 equivalente,5.62,ods_13_2_2_B,España,pais
2020,ES,Toneladas de CO2 equivalente,4.82,ods_13_2_2_B,España,pais
2021,ES,Toneladas de CO2 equivalente,5.16,ods_13_2_2_B,España,pais
2022,ES,Toneladas de CO2 equivalente,5.16,ods_13_2_2_B,España,pais
2010,ES70,Toneladas de CO2 equivalente,7.71,ods_13_2_2_B,Canarias,canarias
2011,ES70,Toneladas de CO2 equivalente,7.03,ods_13_2_2_B,Canarias,canarias
2012,ES70,Toneladas de CO2 equivalente,7.06,ods_13_2_2_B,Canarias,canarias
2013,ES70,Toneladas de CO2 equivalente,6.52,ods_13_2_2_B,Canarias,canarias
2014,ES70,Toneladas de CO2 equivalente,6.35,ods_13_2_2_B,Canarias,canarias
2015,ES70,Toneladas de CO2 equivalente,6.23,ods_13_2_2_B,Canarias,canarias
2016,ES70,Toneladas de CO2 equivalente,6.42,ods_13_2_2_B,Canarias,canarias
2017,ES70,Toneladas de CO2 equivalente,6.53,ods_13_2_2_B,Canarias,canarias
2018,ES70,Toneladas de CO2 equivalente,6.36,ods_13_2_2_B,Canarias,canarias
2019,ES70,Toneladas de CO2 equivalente,6.23,ods_13_2_2_B,Canarias,canarias
2020,ES70,Toneladas de CO2 equivalente,5.2,ods_13_2_2_B,Canarias,canarias
2021,ES70,Toneladas de CO2 equivalente,5.66,ods_13_2_2_B,Canarias,canarias
2010,ES,Porcentaje,22.34,ods_13_2_2_C,España,pais
2011,ES,Porcentaje,22.56,ods_13_2_2_C,España,pais
2012,ES,Porcentaje,20.74,ods_13_2_2_C,España,pais
2013,ES,Porcentaje,10.39,ods_13_2_2_C,España,pais
2014,ES,Porcentaje,10.24,ods_13_2_2_C,España,pais
2015,ES,Porcentaje,13.89,ods_13_2_2_C,España,pais
2016,ES,Porcentaje,9.08,ods_13_2_2_C,España,pais
2017,ES,Porcentaje,14.02,ods_13_2_2_C,España,pais
2018,ES,Porcentaje,11.41,ods_13_2_2_C,España,pais
2019,ES,Porcentaje,4.24,ods_13_2_2_C,España,pais
2020,ES,Porcentaje,-10.11,ods_13_2_2_C,España,pais
2021,ES,Porcentaje,-3.74,ods_13_2_2_C,España,pais
2022,ES,Porcentaje,-2.61,ods_13_2_2_C,España,pais
2010,ES70,Porcentaje,91.54,ods_13_2_2_C,Canarias,canarias
2011,ES70,Porcentaje,76.47,ods_13_2_2_C,Canarias,canarias
2012,ES70,Porcentaje,78.36,ods_13_2_2_C,Canarias,canarias
2013,ES70,Porcentaje,65.34,ods_13_2_2_C,Canarias,canarias
2014,ES70,Porcentaje,61.28,ods_13_2_2_C,Canarias,canarias
2015,ES70,Porcentaje,58.43,ods_13_2_2_C,Canarias,canarias
2016,ES70,Porcentaje,63.81,ods_13_2_2_C,Canarias,canarias
2017,ES70,Porcentaje,67.61,ods_13_2_2_C,Canarias,canarias
2018,ES70,Porcentaje,64.74,ods_13_2_2_C,Canarias,canarias
2019,ES70,Porcentaje,63.25,ods_13_2_2_C,Canarias,canarias
2020,ES70,Porcentaje,37.32,ods_13_2_2_C,Canarias,canarias
2021,ES70,Porcentaje,49.12,ods_13_2_2_C,Canarias,canarias
2010,ES,Porcentaje,-21.27,ods_13_2_2_D,España,pais
2011,ES,Porcentaje,-21.12,ods_13_2_2_D,España,pais
2012,ES,Porcentaje,-22.29,ods_13_2_2_D,España,pais
2013,ES,Porcentaje,-28.95,ods_13_2_2_D,España,pais
2014,ES,Porcentaje,-29.05,ods_13_2_2_D,España,pais
2015,ES,Porcentaje,-26.7,ods_13_2_2_D,España,pais
2016,ES,Porcentaje,-29.8,ods_13_2_2_D,España,pais
2017,ES,Porcentaje,-26.62,ods_13_2_2_D,España,pais
2018,ES,Porcentaje,-28.3,ods_13_2_2_D,España,pais
2019,ES,Porcentaje,-32.91,ods_13_2_2_D,España,pais
2020,ES,Porcentaje,-42.15,ods_13_2_2_D,España,pais
2021,ES,Porcentaje,-38.05,ods_13_2_2_D,España,pais
2022,ES,Porcentaje,-37,ods_13_2_2_D,España,pais
2010,ES70,Porcentaje,-18.51,ods_13_2_2_D,Canarias,canarias
2011,ES70,Porcentaje,-24.93,ods_13_2_2_D,Canarias,canarias
2012,ES70,Porcentaje,-24.12,ods_13_2_2_D,Canarias,canarias
2013,ES70,Porcentaje,-29.66,ods_13_2_2_D,Canarias,canarias
2014,ES70,Porcentaje,-31.39,ods_13_2_2_D,Canarias,canarias
2015,ES70,Porcentaje,-32.6,ods_13_2_2_D,Canarias,canarias
