indicativo,nombre,island,year,n_days,n_temp,n_prec,pct_temp,pct_prec,tmed_annual,tmin_annual,tmax_annual,prec_annual,tropical_nights_annual,equatorial_nights_annual,torrid_nights_annual,warm_days_30,warm_days_35,use_for_annual,baseline_tmed,baseline_tmin,baseline_tmax,anom_tmed,anom_tmin,anom_tmax
C148F,SAN ANDRÉS Y SAUCES,La Palma,2022,365,365,365,1,1,18.558082191780823,15.548493150684932,21.566575342465754,910,2,0,0,2,0,TRUE,18.772159124529438,15.697889849876152,21.84580348102131,-0.21407693274861472,-0.1493966991912199,-0.27922813855555617
C148F,SAN ANDRÉS Y SAUCES,La Palma,2023,365,365,365,1,1,19.794520547945204,16.36931506849315,23.213424657534247,819.8,28,1,0,22,0,TRUE,18.772159124529438,15.697889849876152,21.84580348102131,1.0223614234157665,0.6714252186169993,1.3676211765129374
C148F,SAN ANDRÉS Y SAUCES,La Palma,2024,366,366,366,1,1,19.396994535519127,15.986065573770492,22.808469945355192,457.4,2,0,0,3,0,TRUE,18.772159124529438,15.697889849876152,21.84580348102131,0.6248354109896894,0.28817572389434076,0.962666464333882
C148F,SAN ANDRÉS Y SAUCES,La Palma,2025,365,365,365,1,1,18.60821917808219,15.587397260273972,21.63123287671233,875.8,4,0,0,4,1,TRUE,18.772159124529438,15.697889849876152,21.84580348102131,-0.16393994644724685,-0.11049258960217934,-0.21457060430898167
C229J,PÁJARA,Fuerteventura,2015,324,312,308,0.9629629629629629,0.9506172839506173,21.09198717948718,17.840064102564103,24.35224358974359,27.2,91,0,0,19,4,TRUE,22.259503963427303,19.150009918025244,25.369457795240027,-1.1675167839401226,-1.3099458154611412,-1.0172142054964368
C229J,PÁJARA,Fuerteventura,2016,366,358,365,0.9781420765027322,0.9972677595628415,20.893296089385476,17.656983240223465,24.131284916201118,69.8,87,0,0,12,2,TRUE,22.259503963427303,19.150009918025244,25.369457795240027,-1.3662078740418266,-1.4930266778017796,-1.2381728790389097
C229J,PÁJARA,Fuerteventura,2017,339,330,334,0.9734513274336283,0.9852507374631269,23.407272727272726,19.94090909090909,26.874545454545455,24.2,176,13,0,86,6,TRUE,22.259503963427303,19.150009918025244,25.369457795240027,1.1477687638454235,0.7908991728838473,1.5050876593054276
C229J,PÁJARA,Fuerteventura,2018,339,330,336,0.9734513274336283,0.9911504424778761,21.336666666666666,17.811818181818182,24.865454545454547,58.300000000000004,99,0,0,33,2,TRUE,22.259503963427303,19.150009918025244,25.369457795240027,-0.9228372967606369,-1.3381917362070617,-0.5040032497854803
C229J,PÁJARA,Fuerteventura,2019,365,355,363,0.9726027397260274,0.9945205479452055,22.213521126760565,18.650985915492956,25.778028169014085,42.3,137,1,0,46,2,TRUE,22.259503963427303,19.150009918025244,25.369457795240027,-0.04598283666673808,-0.4990240025322876,0.408570373774058
C229J,PÁJARA,Fuerteventura,2020,366,364,364,0.994535519125683,0.994535519125683,22.526923076923076,19.48131868131868,25.57032967032967,22.3,168,6,0,38,4,TRUE,22.259503963427303,19.150009918025244,25.369457795240027,0.2674191134957731,0.3313087632934355,0.20087187508964277
C229J,PÁJARA,Fuerteventura,2021,364,349,355,0.9587912087912088,0.9752747252747253,21.91919770773639,19.01002865329513,24.824928366762176,25.5,137,2,0,16,5,TRUE,22.259503963427303,19.150009918025244,25.369457795240027,-0.340306255690912,-0.13998126473011396,-0.5445294284778512
