island,station_id,station_name,mean_dist_km,min_nn_km,max_dist_km,medoid_score
Tenerife,C426E,CITFAGRO_13_VILAFLOR,27.613081333646715,2.8995063092835394,60.502497979550824,1159.749416013162
Tenerife,C458A,TACORONTE,28.355259125592738,4.839601916372633,54.10218282087437,1190.920883274895
Tenerife,C426I,CITFAGRO_77_PINAL,28.509995098197194,2.8995063092835394,60.61490916455892,1197.4197941242821
Tenerife,C428U,CITFAGRO_01_ARICO,29.193907610721247,5.611319641246429,53.22240109804782,1226.1441196502924
Tenerife,C418L,CITFAGRO_76_POZO,30.096041746923156,2.9307743009530087,65.86262977591588,1264.0337533707725
Tenerife,C466O,CITFAGRO_91_CUBO,30.65844108291992,2.0845099236397213,61.58070096040406,1287.6545254826367
Tenerife,C417J,CITFAGRO_74_CHIO,30.680311810088277,2.093995207942196,65.8276529327387,1288.5730960237076
Tenerife,C447A,TENERIFE NORTE AEROPUERTO,30.707902001261463,5.739871317668622,57.65619939709824,1289.7318840529815
Tenerife,C415A,CITFAGRO_64_HOYOS,31.16014071724896,3.91054172620528,63.85057457375213,1308.7259101244563
Tenerife,C418I,CITFAGRO_05_GUIAISO1,31.260625134004872,0.859307288382923,67.05010947590634,1312.9462556282047
Tenerife,C468O,CITFAGRO_62_TRIGO,31.581252888177694,2.0845099236397213,61.660652872872184,1326.412621303463
Tenerife,C419L,LOMO DEL BALO,31.707895143512253,0.859307288382923,67.70739217435938,1331.7315960275146
Tenerife,C448C,CITFAGRO_92_SANTACRUZ,33.377493460663516,1.7703618094809797,60.19230315198115,1401.8547253478675
Tenerife,C449C,STA.CRUZ DE TENERIFE,34.696775800103424,1.7703618094809797,61.53018250319961,1457.2645836043437
Tenerife,C419X,ADEJE,35.24738040271076,10.681735084265027,71.07049068367401,1480.389976913852
Tenerife,C429I,TENERIFE SUR AEROPUERTO,35.272527381964515,9.89444231815892,65.56427933485963,1481.4461500425095
Tenerife,C446G,"SAN CRISTÓBAL DE LA LAGUNA,LLANO DE LOS LOROS",36.49489476815269,6.322818803609293,64.901150249131,1532.785580262413
Tenerife,C449F,ANAGA,41.36808761640038,6.5757270386621425,69.18451815337738,1737.459679888816
Tenerife,C449Q,CITFAGRO_97_TAGANANA,42.18380918751129,6.322818803609293,71.07049068367401,1771.7199858754739
